cluster,id
5,2251
20,10030
19,483104
110,14199
21,11355
112,10357
42,10779
156,6280
2,10377
21,9726
49,377264
113,11358
13,39781
105,4858
21,38357
48,225728
199,8676
63,513310
26,254904
45,9437
10,98357
99,4643
0,38684
27,10010
142,316152
6,404
132,9667
90,615469
126,15165
176,381
84,442062
87,522518
20,11775
111,618344
6,491472
16,72784
66,9208
29,638974
28,9610
36,3600
0,713
132,8836
41,635
152,2114
33,12104
194,9829
1,790
198,247
24,11001
79,102362
111,142061
105,269795
12,583406
22,50698
10,7972
65,1985
198,199373
73,406994
23,12139
2,187596
146,4474
134,7364
100,71469
46,9331
137,539681
162,9647
198,188166
39,13335
13,228194
21,9454
130,168
79,1266
22,227348
140,14128
72,6435
13,400579
179,20533
157,2605
32,87826
22,9793
22,21407
15,137116
158,11667
77,472734
115,6538
199,6068
20,734265
181,26736
197,868759
2,124459
20,502292
21,49020
22,341006
89,682507
99,2119
198,179
3,597891
161,8007
195,150
188,8834
22,10294
69,115290
21,9441
20,487297
54,2323
105,243940
97,9604
98,1694
20,34806
0,535
146,84332
188,440471
5,504562
102,86828
120,11260
126,51052
21,7520
10,241239
94,10047
34,424121
